,0,1,2,3,4,5,6,7
0,0.7886,0.0287,0.0154,0.0122,0.0164,0.0144,0.0153,1.0
1,0.8144,0.03,0.0138,0.0147,0.0163,0.0194,0.0922,1.0
2,0.81,0.021,0.0166,0.0173,0.0172,0.0161,0.0126,1.0
3,0.7969,0.0283,0.0157,0.0141,0.0167,0.0194,0.011,1.0
4,0.3776,0.176,0.1405,0.0824,0.0423,0.0165,0.0069,2.0
5,0.373,0.3699,0.1447,0.0821,0.0439,0.0161,0.0052,2.0
6,0.3737,0.3718,0.1671,0.0845,0.0434,0.9153,0.0085,2.0
7,0.3805,0.3755,0.1452,0.0827,0.0424,0.0165,0.0061,2.0
8,0.3792,0.3722,0.148,0.0807,0.0455,0.0121,0.0088,2.0
9,0.2805,0.2173,0.1607,0.1668,0.1649,0.0263,0.0138,3.0
10,0.2832,0.2221,0.1589,0.1603,0.1104,0.024,0.0199,3.0
11,0.2833,0.2221,0.1547,0.1652,0.5141,0.0261,0.0128,3.0
12,0.2892,0.2184,0.1544,0.1624,0.1118,0.0248,0.0173,3.0
13,0.2931,0.2217,0.1575,0.1612,0.1101,0.028,0.0194,3.0
14,0.2867,0.2236,0.1598,0.1682,0.1122,0.028,0.0199,3.0
15,0.6276,0.1824,0.1146,0.0489,0.0232,0.0179,0.0048,4.0
16,0.0911,0.1817,0.1133,0.0504,0.0251,0.0121,0.0067,4.0
17,0.6246,0.1814,0.1123,0.0518,0.0267,0.0138,0.0045,4.0
18,0.6283,0.1859,0.1149,0.0507,0.0248,0.0166,0.0043,4.0
19,0.6265,0.1845,0.1103,0.0496,0.0232,0.0179,0.0146,4.0
